Sorszám;Munka;Neme;Életkor;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
1;[];férfi;20;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;ASC;Nincs anaréta;bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;oroszlán;szűz;szűz;rák;nyilas;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;6;12;7;7;8;8;8;nincs hazur;nincs hazur;nincs hazur;nincs hazur;8;8;8;7;12;7;6;2;1;12;konjukcio;-;-;trigon;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-
2;['informatikus', 'programozó'];férfi;20;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;ASC;Nincs anaréta;bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;oroszlán;szűz;szűz;rák;nyilas;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;6;12;7;7;8;8;8;nincs hazur;nincs hazur;nincs hazur;nincs hazur;8;8;8;7;12;7;6;2;1;12;konjukcio;-;-;trigon;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-
3;[];nő;20;hold-vénusz;kiszolgáltatott;+ nap;- hold;ASC;Nincs anaréta;bak;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;ikrek;nyilas;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;3;nincs hazur;12;12;6;nincs hazur;12;nincs hazur;nincs hazur;5;12;6;3;12;5;4;1;1;12;-;-;-;-;konjukcio;-;-;trigon;oppozicio;oppozicio;-;konjukcio;oppozicio;-;-;-;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;trigon;-;oppozicio;-;trigon;oppozicio;-;-;-
4;[];férfi;18;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;hold;Nincs anaréta;mérleg;mérleg;skorpió;bak;vízöntő;halak;kos;kos;bika;rák;oroszlán;szűz;kos;kos;kos;ikrek;ikrek;szűz;rák;halak;vízöntő;nyilas;nincs hazur;nincs hazur;9;nincs hazur;10;12;nincs hazur;nincs hazur;9;7;8;8;8;7;8;9;9;12;10;6;5;3;-;konjukcio;-;-;-;-;-;-;trigon;konjukcio;-;-;-;-;-;-;trigon;-;-;-;-;-;-;trigon;konjukcio;kvadrat;-;kvadrat;trigon;-;-;-;-;trigon;oppozicio;-;oppozicio;-;-;trigon;-;-;-;-;-
5;['informatikus', 'programozó'];férfi;20;hold-mars;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;halak;halak;halak;kos;bika;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;8;9;nincs hazur;9;nincs hazur;10;nincs hazur;nincs hazur;6;7;7;7;7;6;8;9;10;9;6;5;4;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;trigon;kvadrat;konjukcio;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;trigon;-;-;-;-
6;['földműves', 'biztonsági őr'];férfi;50;nap-mars;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;nap;hold (oppozíció);vízöntő;halak;bika;bika;ikrek;rák;oroszlán;szűz;skorpió;skorpió;nyilas;bak;szűz;halak;oroszlán;szűz;vízöntő;skorpió;ikrek;mérleg;nyilas;szűz;4;10;nincs hazur;nincs hazur;7;1;7;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;1;7;7;1;10;4;8;10;8;oppozicio;-;konjukcio;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-;-;oppozicio;-;konjukcio;-;trigon;oppozicio;trigon;-;-;-
7;[];férfi;22;nap;kiszolgáltatott;- nap;+ hold;ASC;Nincs anaréta;nyilas;bak;vízöntő;kos;kos;bika;ikrek;rák;oroszlán;mérleg;mérleg;skorpió;oroszlán;kos;rák;szűz;skorpió;bika;bika;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;nincs hazur;nincs hazur;9;nincs hazur;5;8;nincs hazur;nincs hazur;11;8;5;8;9;11;5;5;2;2;1;-;-;-;kvadrat;kvadrat;kvadrat;oppozicio;-;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;oppozicio;-;-;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;kvadrat;-;kvadrat;-;-;-;-;-
8;[];nő;0;hold;kiszolgáltatott;+ nap;- hold;ASC;Nincs anaréta;rák;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;skorpió;vízöntő;skorpió;bak;skorpió;vízöntő;vízöntő;bika;halak;bak;8;5;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;8;5;6;5;5;8;5;6;5;8;7;11;9;7;kvadrat;-;-;-;kvadrat;-;oppozicio;trigon;-;-;-;-;konjukcio;-;-;-;-;-;konjukcio;-;kvadrat;oppozicio;-;-;-;-;-;trigon;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;kvadrat;-;-;-;-;-
9;['vendéglátás'];nő;19;hold-vénusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;nyilas;mérleg;nyilas;skorpió;mérleg;oroszlán;ikrek;vízöntő;vízöntő;nyilas;3;2;2;11;10;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;3;3;2;3;2;2;11;10;6;5;3;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;trigon;-;-;-;-;-;-;-;-;konjukcio;konjukcio;-;-;trigon;kvadrat;-;-;-;trigon;-;-;-;oppozicio;-;-;trigon;-;-;-;-;-
10;[];nő;24;hold;kiszolgáltatott;+ nap;a hold nem sérült;nap;szaturnusz (kvadrát);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;rák;szűz;oroszlán;oroszlán;mérleg;vízöntő;kos;vízöntő;bak;nyilas;10;1;5;nincs hazur;7;nincs hazur;nincs hazur;nincs hazur;10;11;9;nincs hazur;9;11;10;10;1;5;7;4;4;2;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;oppozicio;-;-;oppozicio;trigon;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-
11;['testnevelő', 'tanár'];férfi;52;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;mars (oppozíció);oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;ikrek;vízöntő;ikrek;kos;nyilas;szűz;bika;szűz;skorpió;szűz;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;10;2;4;9;10;7;11;7;10;9;4;2;10;2;4;2;trigon;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;oppozicio;-;-;-;oppozicio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-;-;-;konjukcio;-
12;[];nő;19;hold-vénusz;kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;mérleg;nyilas;mérleg;skorpió;szűz;oroszlán;ikrek;vízöntő;vízöntő;nyilas;9;nincs hazur;7;nincs hazur;10;12;nincs hazur;1;11;10;nincs hazur;nincs hazur;11;1;10;12;10;9;7;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;konjukcio;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;-;-;oppozicio;-;trigon;-;-;-;-;-
13;['ételfutár', 'biztonsági őr', 'festő'];nő;52;nap-mars;önfeláldozó vagy áldozat;a nap nem sérült;- hold;ASC;Nincs anaréta;vízöntő;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;bika;skorpió;bika;bika;ikrek;skorpió;bika;mérleg;nyilas;szűz;nincs hazur;3;nincs hazur;3;8;8;2;3;nincs hazur;8;2;2;2;8;3;3;3;8;2;7;9;7;oppozicio;-;-;-;oppozicio;-;-;-;-;-;-;-;konjukcio;oppozicio;-;-;-;konjukcio;-;-;-;-;-;trigon;-;-;-;-;oppozicio;trigon;-;-;trigon;oppozicio;trigon;-;-;-;-;-;-;-;-;-;-
14;[];férfi;20;hold-mars;kiszolgáltatott;a nap nem sérült;+ hold;nap;hold (oppozíció);szűz;szűz;mérleg;skorpió;nyilas;vízöntő;halak;halak;kos;bika;ikrek;oroszlán;rák;bak;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;10;10;10;4;nincs hazur;10;11;11;nincs hazur;nincs hazur;nincs hazur;11;11;5;10;10;4;11;10;6;6;4;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;kvadrat;-;-;-;oppozicio;-;-;konjukcio;-;trigon;-;-;-;trigon;oppozicio;-;-;-
15;[];nő;20;hold-vénusz;önfeláldozó;a nap nem sérült;- hold;ASC;Nincs anaréta;szűz;mérleg;mérleg;nyilas;bak;vízöntő;halak;kos;kos;ikrek;rák;oroszlán;kos;oroszlán;halak;kos;bika;rák;ikrek;vízöntő;vízöntő;nyilas;7;8;8;nincs hazur;10;nincs hazur;11;nincs hazur;nincs hazur;nincs hazur;12;8;8;12;7;8;9;11;10;6;6;4;-;-;-;-;kvadrat;-;-;-;-;-;trigon;kvadrat;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;-;trigon;oppozicio;-;-;-
16;[];nő;20;hold-vénusz;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;hold;asc (oppozíció);nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;ikrek;ikrek;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;7;nincs hazur;7;nincs hazur;6;nincs hazur;7;8;7;nincs hazur;1;8;7;7;6;1;7;7;3;2;1;-;konjukcio;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;konjukcio;-;trigon;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;kvadrat;-;oppozicio;-;-;-;konjukcio;-;trigon;-;-;-;trigon;oppozicio;-;-;-
17;['szülésznő'];nő;20;hold-vénusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;ikrek;rák;oroszlán;oroszlán;mérleg;skorpió;nyilas;bak;vízöntő;vízöntő;kos;bika;skorpió;rák;mérleg;mérleg;vízöntő;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;2;6;6;nincs hazur;9;2;nincs hazur;1;1;nincs hazur;5;6;2;5;5;9;2;1;9;9;6;trigon;-;-;kvadrat;trigon;-;kvadrat;-;-;kvadrat;kvadrat;-;konjukcio;-;-;-;-;konjukcio;-;-;-;trigon;kvadrat;-;-;-;-;trigon;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;oppozicio;-;-;-
18;['testnevelő'];férfi;21;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;halak;halak;vízöntő;kos;nyilas;ikrek;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;6;6;nincs hazur;nincs hazur;nincs hazur;3;3;2;4;1;3;3;2;4;1;6;6;3;2;1;konjukcio;-;-;kvadrat;kvadrat;-;-;-;-;-;-;kvadrat;kvadrat;kvadrat;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
19;[];nő;20;hold-vénusz;még nem tudjuk kiszámolni;+ nap;a hold nem sérült;ASC;Nincs anaréta;kos;ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;kos;kos;kos;bika;bika;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;nincs hazur;1;1;1;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;3;1;1;1;1;2;3;2;11;11;8;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-
20;[];férfi;20;hold-mars;kiszolgáltatott;a nap nem sérült;+ hold;ASC;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;halak;mérleg;mérleg;vízöntő;rák;ikrek;vízöntő;vízöntő;nyilas;3;nincs hazur;nincs hazur;8;9;nincs hazur;12;nincs hazur;5;1;12;nincs hazur;1;5;12;12;3;9;8;4;3;2;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;trigon;kvadrat;-;-;kvadrat;konjukcio;-;kvadrat;trigon;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;konjukcio;-;-;-;-;-;trigon;-;oppozicio;-;-;-
21;[];férfi;44;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;vízöntő;kos;kos;bika;ikrek;rák;oroszlán;mérleg;mérleg;skorpió;bika;oroszlán;kos;ikrek;oroszlán;rák;oroszlán;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;nincs hazur;nincs hazur;5;8;6;7;7;8;6;8;5;7;8;7;9;11;1;10;-;-;-;-;-;kvadrat;-;-;-;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;trigon;-;-;-;-;-;-;-;oppozicio;trigon;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-
22;['tanár'];nő;46;nap-mars;független vagy kiszolgáltatott;a nap nem sérült;- hold;ASC;Nincs anaréta;mérleg;skorpió;nyilas;vízöntő;halak;kos;kos;bika;ikrek;oroszlán;szűz;mérleg;kos;ikrek;kos;halak;rák;bika;rák;skorpió;nyilas;mérleg;nincs hazur;9;nincs hazur;9;7;nincs hazur;nincs hazur;5;nincs hazur;6;6;nincs hazur;6;8;6;5;9;7;9;1;2;1;-;konjukcio;-;kvadrat;-;-;-;trigon;oppozicio;-;-;-;-;-;-;oppozicio;-;-;-;-;kvadrat;-;trigon;-;-;-;trigon;-;-;-;-;-;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;-;-
